LotNumber,Title,Description,Quantity,StartBidEach,SellerCode,Source,Retail Price
80m,Chris Loves Julia x Loloi Francis Wool Beige / Cha,"Retail Price: $254
Notes: It does not include the furniture, just the rug
Condition: New Not in Original Packaging
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$254 It s no coincidence that the pattern of the Francis collection for Chris Loves Julia x Loloi may remind you of tilework it s based on the favorite flooring patterns of the couple, from tilework to parquet flooring. Hooked of 100% wool, the diamond and grid patterns soften and create a relaxed feel that s still visually striking. This collection is made in India and is GoodWeave certified, ensuring our commitment to ethical production and the support of weavers' communities. Material: Wool Technique / Weave: Hand Hooked Rug Shape: Rectangle Rug Shape: Rectangle Rug Shape: Rectangle Rug Shape: Rectangle Rug Shape: Runner Rug Shape: Runner Rug Shape: Rectangle Rug Shape: Rectangle Rug Shape: Rectangle Rug Shape: Runner Pattern: Geometric; Checkered; Argyle Location: Indoor Non-Slip Backing: No Reversible: No Backing Material: Cotton Product Care: Vacuum with no beater bar/rotating brush; Spot clean with a dry cloth Imported: Yes Durability: Stain Resistant Color: Beige; Gray SOR/2016-176 Compliant: Yes Sustainability Certificate(s): GoodWeave Certified.",1,,ATXSUGAR,,254
84m,"Alteo 39.4"" Wide Modern Vegan Leather Power Reclin","Retail Price: $1000
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$1000 Made with advanced leather fabric, exquisite sewing techniques, and purely handmade. This unusual air leather home theater power recliner will give you the utmost comfort, allowing you to enjoy movie nights without a single worry. From the most luxurious and opulent seats, you will be able to see the world from a whole new perspective. The finishes will fit perfectly with the style of your home theater room. You can be sure that the final product will match your style and lifestyle down to the last detail. Product Type: Individual Seat Upholstery Material: Faux Leather Faux Leather Type: Polyurethane Frame Material: Metal Seating Capacity: 1 Row Style: No Row Style Adjustable Headrest: No Seat Construction: Pocket Spring; Metal; Manufactured Wood Fill Material: Cotton; Foam Weight Capacity: 300 Durability: Water Resistant; Scratch Resistant; Stain Resistant; UV Resistant; Tear Resistant Built-in USB Port: Yes Leg Material: Metal Accent Pillow Included: No Back Type: Cushioned Heated: No Back Fill Material: Foam; Cotton Fabric Care Instructions: X: Clean by lightly brushing and/or vacuuming to remove dust Imported: Yes Adjustability Features: Reclining Reclining Mechanism: Power - Push Button Reversible Cushions: No Product Care: Spot clean; Wipe clean with a damp cloth Leg Color / Finish: Black Upholstery Color: Beige Upholstery Color: Orange Upholstery Color: Light Gray Upholstery Material Texture: Faux Cowhide California Proposition 65 Warning Required: Yes ISTA Certified: 3A or 6A.",1,5.00,ATXSUGAR,Wayfair,1000
88m,GE 27-in Smart Electric Wall Oven Stainless - (W3),"Retail Price: $2199
Notes: Door is misaligned unable to fully close. Unable to test due to hardwire connection. Sold as is.
Condition: Used - Acceptable
In Packaging?: No
Assembly Required?: No
Damaged?: Yes
Functional?: Unable to Test

$2199 Door is misaligned unable to fully close. Unable to test due to hardwire connection. Sold as is. At GE Appliances, we bring good things to life. Our goal is to help people improve their lives at home by providing quality appliances that were made for real life. Whether it's enjoying the tradition of making meals from scratch or tackling a mountain of muddy jeans and soccer jerseys, GE Appliances are crafted to support any and every task in the home.",1,5.00,ATXSUGAR,Best Buy,2199
94m,"ZLINE 30"" 600 CFM Range Hood, Black-Stainless -(W3","Retail Price: $900
Notes: Scratch and dent unit. Does not come with any packaging or any accessories. Main unit only. Tested with our own power cable (not included). Turns on and fan exhaust fan works. Please see pictures.
Condition: Used - Acceptable
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$900 Luxury isn't meant to be desired - it's meant to be attainable. The ZLINE 30 in. 600 CFM Ducted Under Cabinet Range Hood in Black Stainless Steel (BS623-30) provides a professional culinary experience by pairing built-to-last quality with a timeless style. Achieve ZLINE Attainable Luxury excellence with unrivaled performance designed to enhance your kitchen's capability.. Black stainless steel finish offers a sleek look. 4-speed fan control for customized airflow options.",1,5.00,ATXSUGAR,Best Buy,900
96m,"CAF  Professional Series 30"" Smart Wall Oven -W3","Retail Price: $4299
Condition: New Not in Original Packaging
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$4299 Creating delectable meals of all sizes is an effortless endeavor with this CAF  Single Wall Oven. Features like No Preheat Air Fry and Precision Cooking Modes save you time whether you re cooking for parties of two or 20. Plus an in-oven camera lets you monitor the progress of cooking food remotely, so you can mingle with friends during dinner parties or connect with family on busy weeknights. This wall oven is also designed to make clean-up the least eventful part of your evening, with smooth-gliding racks that can be left in the oven during the Self-Clean cycle and a Steam Clean option that s perfect for wiping up messes after each meal. It all adds up to an easy experience that delivers stand-out results. Plus, it comes in countless combinations of finishes and hardware, to create a look as unique as you are.",1,5.00,ATXSUGAR,Best Buy,4299
98m,LG 30  Smart Build-In Combination Wall Oven with M,"Retail Price: $3800
Notes: Small scratches on top of the microwave, please see pictures. Unable to test it
Condition: New - Cosmetic Flaws
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$3800 Microwave convection oven saves time by air frying, baking, and roasting food fast and more evenly SmoothTouch glass controls deliver sleek style and easy operation 2-heavy-duty racks and 5-rack positions for cooking flexibility.",1,,ATXSUGAR,"Best Buy, Best Buy, Best Buy",3800
100m,Bosch Flue cover Stainless steel -(W3),"Retail Price: $319
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$319 This listing features a Bosch Flue Cover made from high-quality stainless steel. Designed to provide a sleek and modern finish, this flue cover is compatible with certain Bosch range hoods, ensuring efficient ventilation while enhancing the overall aesthetic of your kitchen. Its durable construction ensures long-lasting performance. The cover features a polished surface that is easy to clean and maintain. Please refer to the accompanying images for a detailed view.",1,5.00,ATXSUGAR,Best Buy,319
102m,"24"" Built-In Microwave, 2.2 cu ft, ADA - W3","Retail Price: $1100
Notes: Has left corner damage SEE PICTURES!! Power tested works flawlessly
Condition: Used - Acceptable
In Packaging?: Yes
Assembly Required?: No
Damaged?: Yes
Functional?: Yes

$1100 This 24 Inch Built-In Microwave features a spacious 2.2 cu. Ft. Capacity, perfect for accommodating larger dishes. It is equipped with convenient glass touch controls for easy operation, along with an extra-large turntable for even heating. The sensor cooking function ensures perfectly cooked meals by automatically adjusting cooking time. Its backlit display enhances visibility, and it meets ADA compliance standards for accessibility.",1,5.00,ATXSUGAR,Best Buy,1100
38,Copen Wall Light By Alcott Hill,"Retail Price: $120
Condition: New Open Box
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$120 The Copen Wall Light by Alcott Hill features a charming design that seamlessly blends traditional aesthetics with modern functionality. This outdoor lantern showcases a classic shape with an elegant roofline and clear glass panels, allowing for a warm, inviting glow. Ideal for entryways or patios, it adds a touch of sophistication to any exterior space. The sturdy construction ensures durability, making it a great choice for various outdoor settings. This listing includes the wall light in its original packaging.",1,5.00,ATXSUGAR,Wayfair,120
39,"15-Inch Tool Bag with 16 Pockets, Foldable","Retail Price: $30
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: Unknown
Functional?: Yes

$30 This 15-inch tool bag is designed for optimal organization and convenience, featuring 16 pockets to accommodate various tools and accessories. The foldable, close-top design provides easy access to your items, while the wide-mouth opening allows for a spacious interior. It comes equipped with a sturdy handle for easy carrying, alongside a padded adjustable strap for added comfort. Constructed from waterproof materials, this black and orange tool bag is both stylish and functional, ideal for professionals and DIY enthusiasts alike.",1,5.00,ATXSUGAR,PDX7,30
104m,Bespoke 5.3 cu ft Front Load Washer Black -(W4),"Retail Price: $1200
Notes: Shows signs of usage
Condition: Used - Good
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$1200 Samsung's Bespoke 5.3 cu. Ft. Ultra-Capacity Front Load Washer has a sleek, flat-panel design, comes in new premium colors, and is equipped with smart features that simplify your laundry experience. It allows you to customize your cycle list, making laundry day a breeze. It has our Super Speed Wash, which powerfully cleans a full load of laundry in just 28-minutes, and our AI Smart Dial, which learns and recommends your favorite cycles and makes controlling your washer a breeze.. Amperage (A): 15 A.",1,5.00,ATXSUGAR,Best Buy,1200
106m,7.2 cu. ft. Electric Dryer - White -(W4),"Retail Price: $799
Notes: Scratches and dents on sides of unit
Condition: New - Cosmetic Flaws
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$799 Your GE 7.2 cu. Ft. Electric Front load Dryer in White features HE Sensor Dry that always keeps your clothes looking and feeling their best. Dual thermistors continually monitor temperature with a sensor bar that measures moisture to prevent over-drying. The Extended Tumble feature freshly tumbles your garments periodically for up to 8 hours when unable to move clothing to the dryer right away. The white on white with a silver backsplash adds a touch of style to your laundry room.",1,5.00,ATXSUGAR,Best Buy,799
108m,Insignia 6.7 Cu. Ft. Electric Dryer -(W4),"Retail Price: $600
Notes: Has dent on lower right side
Condition: Used - Good
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$600 6.7 cu. Ft. Capacity Gives you the space you need to thoroughly wash blankets, comforters, curtains, coats and more. 9 sensor and manual drying cycles 6 sensor cycles   Normal, Heavy Duty, Towels, Casual, Delicates and Sanitize   automatically detect moisture and adjust the dry time. 3 manual cycles   Quick Dry, Air Fluff, and Time Dry (20-, 40-, 60- and 80-Minute)   let you customize the dry time. Front load design Easy-access front load design makes larger loads easier to lift in and out.",1,5.00,ATXSUGAR,Best Buy,600
110m,7.4 cu. ft. Vented Electric Dryer in White -(W4),"Retail Price: $798
Notes: Has dent in top left corner area does not effect function
Condition: New - Cosmetic Flaws
In Packaging?: No
Assembly Required?: No
Damaged?: Yes
Functional?: Unable to Test

$798 Forget pulling still-damp loads from the dryer with Sensor Dry, the dryer can detect moisture and automatically adjust drying time for loads of all sizes saving energy with less wear and tear on clothes. You can even save time with ultra large capacity that fits more clothes in every load. Plus, keep your dryer clean, efficient and safe with the Flow Sense Duct Clogging Indicator that lets you know when your ducts need cleaning to avoid lint buildup, improves the dryers performance for greater efficiency and lower utility bills and gives you safer, worry-free operation with fewer service calls.. Amperage (A): 30 A. Appliance Category: Dryer. Appliance Series: Not Applicable.",1,5.00,ATXSUGAR,Best Buy,798
112m,"7.4 cu. ft. Vented Electric Dryer, Wi Fi -(W4)","Retail Price: $1100
Notes: Has light scratches and signs of usage will need cleaning
Condition: Used - Acceptable
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$1100 Samsung's new Smart Dryer has integrated Wi-Fi that allows you to remotely start or stop your cycle, schedule laundry on your time, and receive end of cycle alerts and more, right from your smartphone. Also, the Steam Sanitize+ cycle eliminates 99.9% of germs and bacteria  while relaxing and smoothing away wrinkles from everyday wear. Continuously monitors the condition of the air duct to ensure it's operating safely and efficiently. Requires wireless network, Samsung account and SmartThings App. The Samsung SmartThings App supports Android OS 4.0 (ICS) or later which is optimized for Samsung smartphones (Galaxy S and Galaxy Note series). This app also supports iOS 7 or later for iPhone models.",1,5.00,ATXSUGAR,Best Buy,1100
114m,4.0 cu. ft. Smart Dial Electric Dryer -(SHOWROOM),"Retail Price: $798
Notes: Has small dents on both sides of unit
Condition: New - Cosmetic Flaws
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$798 Samsung's 4.0 cu. Ft. Large Capacity Heat Pump Dryer gives you a ventless, more energy-efficient, cost-effective and gentle way to dry your clothes. It is equipped with our AI Smart Dial, which learns and recommends your favorite cycles and simplifies the control panel to make controlling your dryer a breeze. It is also Wi-Fi Connected, so you can get end of cycle alerts, remotely start, schedule and more from your smartphone with the SmartThings App.. Amperage (A): 30 A.",1,5.00,ATXSUGAR,Best Buy,798
116m,7.4 cu. ft. Smart Vented Dryer with Steam -(W4),"Retail Price: $1100
Notes: Has heavy light scratches on top and small dents on right side of unit
Condition: Used - Acceptable
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$1100 Samsung's new Smart Dryer has integrated Wi-Fi that allows you to remotely start or stop your cycle, schedule laundry on your time, and receive end of cycle alerts and more, right from your smartphone. Also, the Steam Sanitize+ cycle eliminates 99.9% of germs and bacteria while relaxing and smoothing away wrinkles from everyday wear. Continuously monitors the condition of the air duct to ensure it's operating safely and efficiently. Requires wireless network, Samsung account and SmartThings App. The Samsung SmartThings App supports Android OS 4.0 (ICS) or later which is optimized for Samsung smartphones (Galaxy S and Galaxy Note series). This app also supports iOS 7 or later for iPhone models.",1,5.00,ATXSUGAR,Best Buy,1100
118m,7.4 cu. ft. Smart Champagne Dryer with Steam -(W4),"Retail Price: $1199
Condition: New - Canceled Delivery
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$1199 Samsung's new Smart Dryer has integrated Wi-Fi that allows you to receive end of cycle alerts and more, right from your smartphone. Also, the Steam Sanitize+ cycle eliminates 99.9% of germs and bacteria  while relaxing and smoothing away wrinkles from everyday wear. Eco-friendly and energy-efficient. Requires wireless network, Samsung account and SmartThings App. The Samsung SmartThings App supports Android OS 4.0 (ICS) or later which is optimized for Samsung smartphones (Galaxy S and Galaxy Note series). This app also supports iOS 7 or later for iPhone models.",1,5.00,ATXSUGAR,Best Buy,1199
120m,Insignia 17 Cu. Ft. Upright Freezer,"Retail Price: $900
Notes: Fully functional Handle is inside
Condition: New Not in Original Packaging
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$900 The Insignia  17 Cu. Ft. Garage Ready Convertible Upright Freezer is designed for versatility and efficiency. This freezer is ENERGY STAR certified, ensuring energy efficiency while providing ample storage space. The sleek white exterior adds a modern touch, making it a great fit for any garage or utility space. With adjustable shelves and a reversible door, it allows for customizable organization to meet your storage needs.",1,5.00,ATXSUGAR,Best Buy,900
122m,Insignia 13.8 Cu Ft Garage Upright Freezer -(W1),"Retail Price: $900
Notes: Works perfectly Has dent into left corner
Condition: New - Cosmetic Flaws
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$900 Introducing the Insignia  13.8 Cu. Ft. Garage Ready Convertible Upright Freezer, featuring ENERGY STAR Certification for efficient energy use. This versatile white freezer offers ample storage space with adjustable shelves, a spacious bin, and a sleek exterior design. Ideal for garage use, it is designed to withstand varying temperatures, ensuring optimal performance in any environment. The user-friendly control panel adds convenience, making it easy to set and monitor temperature settings.",1,5.00,ATXSUGAR,Best Buy,900
124m,"36 in. Side-by-Side, 25.6 cu ft, SS -(W1)","Retail Price: $1400
Notes: Has crease on left side does not affect functionality
Condition: New - Cosmetic Flaws
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$1400 This Frigidaire 36 in. Side-by-side refrigerator offers our EvenTemp Cooling System which reacts quickly to temperature fluctuations and constantly circulates cold air throughout the fresh food and freezer compartments, ensuring a consistent cool from top to bottom. PureSource 3-filtration gives you great-tasting clean water and ice. Bright Lighting in both the refrigerator and freezer compartments makes it easy to see what's inside.. EvenTemp Cooling System. Fresh Storage Crispers.",1,5.00,ATXSUGAR,Best Buy,1400
126m,LG 27.8 Cu. Ft. 4-Door French Door Fridge,"Retail Price: $3500
Notes: Everything works fine Bolts for dirt handles are inside
Condition: New Not in Original Packaging
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$3500 This LG 27.8 Cu. Ft. 4-Door French Door Smart Refrigerator offers a spacious and modern solution for your kitchen needs. Featuring a sleek stainless steel design, it enhances any culinary space. The refrigerator includes double freezer drawers for easy access and organization, making it convenient to store frozen items. Inside, the well-lit interior boasts adjustable shelves and the innovative Slim SpacePlus Ice System, allowing for optimal use of space while providing plenty of room for your groceries.",1,5.00,ATXSUGAR,Best Buy,3500
128m,31 cu. ft. SMART French Door Refrigerator,"Retail Price: $3700
Notes: Fully functional Come with everything original Has dent on back left side
Condition: Used - Acceptable
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$3700 This Standard-Depth MAX refrigerator fits all of your favorites and more while still fitting in with your kitchen decor. LG offers the capacity you typically get in a standard-depth refrigerator packaged in a sleek design so you don't need to compromise a thing. The water and ice dispenser in this LG French Door refrigerator allows you to fill pitchers to pint glasses.. Appliance Category: Refrigerator. Appliance Series: Not Applicable. Appliance Type: French Door Refrigerator.",1,5.00,ATXSUGAR,Best Buy,3700
130m,Insignia 29-Bottle Wine Cooler ENERGY STAR,"Retail Price: $300
Notes: Has scratches on top from usage
Condition: New - Cosmetic Flaws
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$300 This Insignia  29 Bottle Wine Cooler offers a sleek stainless steel look, perfect for any wine enthusiast's collection. With ENERGY STAR certification, it combines efficiency and style, accommodating up to 29 wine bottles. The cooler features five removable shelves, allowing customizable storage options to suit your needs. The reversible door design provides flexible placement in any space. Interior lighting ensures easy visibility. A stylish addition that blends function with modern aesthetics, this wine cooler is ideal for both casual drinkers and serious collectors.",1,5.00,ATXSUGAR,Best Buy,300
132m,Insignia 115-Can Beverage Cooler -(W1),"Retail Price: $176
Notes: Unit is new but has heavy damage to door and trim Works fine
Condition: Used - Acceptable
In Packaging?: No
Assembly Required?: No
Damaged?: Yes
Functional?: Yes

$176 The Insignia  115-Can Beverage Cooler offers a stylish and functional solution for keeping drinks cold. This stainless steel cooler features a clear glass door for easy visibility, allowing you to showcase your beverage selection. It includes multiple shelves designed to hold up to 115 cans, making it ideal for entertaining or stocking up for personal use. The adjustable temperature control ensures your drinks are kept at the perfect chill, while the sleek design complements any space. The cooler's dimensions and layout make it suitable for various settings, whether at home, in a bar, or during gatherings.",1,5.00,ATXSUGAR,Best Buy,176
134m,"Viking - French Door Refrigerator, Steel -(W1)","Retail Price: $4260
Condition: New Not in Original Packaging
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$4260 The Viking French Door Refrigerator features a sleek stainless steel finish, combining style with functionality. It offers ample storage space with adjustable shelving and clear bins for easy organization. The refrigerator compartment includes multiple shelves and spacious drawers, ideal for large grocery loads. The bottom freezer provides convenient access to frozen goods, ensuring everything is within reach. With a modern design and energy-efficient features, this refrigerator is a perfect addition to any kitchen, epitomizing durability and elegance.",1,5.00,ATXSUGAR,Best Buy,4260
136m,24-in Top Control Built-In Dishwasher -(W1),"Retail Price: $679
Notes: Heavy signs of usage
Condition: Used - Acceptable
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$679 Clean dishes with a 55 dBA quiet dishwasher. Three 5"" Cup Shelves free up extra space and a Boost Cycle provides extra effort for cleaning up stubborn messes. This dishwasher includes an Extended Dry Option to elevate drying performance and a Triple Filtration Wash System that filters food particles and cleans the water between wash stages.. Amperage (A): 8.1 A. Appliance Category: Dishwasher. Appliance Series: Not Applicable.",1,5.00,ATXSUGAR,Best Buy,679
138m,Profile 5.5 cu. ft. Front Load Washer -(W4),"Retail Price: $1550
Notes: Has been used but shows light signs of usage
Condition: Used - Very Good
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$1550 Built on the belief that modern life needs modern solutions. GE Profile Appliances are designed to make daily life simpler by incorporating Smart Home technology and cutting-edge features in every appliance. GE Profile's sleek design and quality engineering will give your kitchen the most up-to-date look and the best innovative performance you've been looking for.. Amperage (A): 20 A. Appliance Category: Washer. Appliance Series: GE Profile.",1,5.00,ATXSUGAR,Best Buy,1550
140m,Insignia 4.1 Cu. Ft. Top Load Washer (White),"Retail Price: $500
Notes: Missing one leg
Condition: New - Cosmetic Flaws
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$500 The Insignia 4.1 cu. Ft. High efficiency washer has eleven settings to accommodate bulky comforters or delicate fabrics, and the delay button lets you set a timer up to 24 hours in advance. This top-load washer has a digital display that shows the time remaining in the current cycle so you can remove items promptly.",1,5.00,ATXSUGAR,Best Buy,500
142m,5.0 cu. ft. Front Load Washer,"Retail Price: $1200
Notes: Has been hooked up and used Missing detergent cover SEE PICTURES
Condition: Used - Good
In Packaging?: No
Assembly Required?: No
Damaged?: Yes
Functional?: Yes

$1200 This extra large capacity front load washer has a trio of freshness features with the FreshFlow Vent System. It's is the first fan-powered system with antimicrobial protection designed to help keep your clothes and washer fresh. The FanFresh Option keeps clothes fresh in the washer. The Dry Drum Cycle reduces excess moistures in the drum and door. And the Antimicrobial rubber seal helps prevent the growth of odor-causing bacteria.. Amperage (A): 20 A.",1,5.00,ATXSUGAR,Best Buy,1200
144m,"30 in. Convertible Hood, Stainless","Retail Price: $648
Notes: New in box
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$648 This 30 in. Convertible wall-mount range hood not only provides excellent performance, but looks great as well. It features a powerful 390 CFM motor (600 CFM capable) and has four fan-speed settings and Bluetooth On/Off Control. The dishwasher safe metal filters are a breeze to clean up. Its sleek design brings more elegance to your kitchen.. Amperage (A): 15 A.",1,5.00,ATXSUGAR,Best Buy,648
146m,"30"" Induction Cooktop: 5 Burners -(W4)","Retail Price: $2700
Notes: New in box
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$2700 The Samsung Induction Cooktop is the most advanced cooking technology, with an always cool cooking surface. The flexible cooktop accommodates a variety of pot and pan sizes. Enjoy the comfort of Analog-Knobs combined with the advanced technology of digital touch display. Virtual Flame LED lights shine onto pans to give the visual of gas cooking, with the precision of induction.. Amperage (A): 38 A. Appliance Category: Cooktop.",1,5.00,ATXSUGAR,Best Buy,2700
148m,"Whirlpool 28"" Slide-In Microwave, 1.1 cu ft -(W4)","Retail Price: $750
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$750 Maximize your kitchen efficiency with the Whirlpool 28 Inch Slide-In Microwave. Designed for seamless integration, this microwave boasts a generous 1.1 cu. Ft. Capacity and 1000 watts of cooking power, making it ideal for various cooking tasks. The stainless steel finish adds a sleek touch to your kitchen decor, while the included trim kit ensures a polished look. Features a convenient tap-to-open door, enhancing user experience.",1,5.00,ATXSUGAR,Best Buy,750
150m,36 in. Gas Cooktop with 5 Burners -(D),"Retail Price: $748
Notes: Has scratches all around unit
Condition: Used - Acceptable
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$748 At GE Appliances, we bring good things to life, by designing and building the world's best appliances. Our goal is to help people improve their lives at home by providing quality appliances that were made for real life. Whether it's enjoying the tradition of making meals from scratch or tackling a mountain of muddy jeans and soccer jerseys, GE Appliances are crafted to support any and every task in the home.. Appliance Category: Cooktop. Appliance Series: Not Applicable. Appliance Type: Gas Cooktop.",1,5.00,ATXSUGAR,Best Buy,748
152m,LG 7.3 Cu. Ft. Gas Dryer with Sensor Dry,"Retail Price: $1000
Notes: Has various light scratches all around still functions
Condition: Used - Very Good
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$1000 7.3 cu. Ft. Ultra Large Capacity Free up your day fit more clothes in every load with 7.3 cu. Ft. Of space. Running fewer loads saves energy and money on your utility bill.",1,5.00,ATXSUGAR,Best Buy,1000
154m,8 cu. ft. Vented Front Load Dryer - Titanium,"Retail Price: $898
Notes: Has small dents on side as seen in pictures from shipping
Condition: New - Cosmetic Flaws
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$898 The Electrolux front load electric dryer with Balanced Dry technology prevents temperature spikes to keep fabrics cooler throughout the dry cycle. LuxCare Dry uses an advanced moisture sensor to prevent over or under-drying. The Electrolux Perfect Steam electric dryer with Predictive Dry has a more precise sensor to protect fabrics from overdrying. Instant Refresh cycle revives fabrics without washing. Compatible with Electrolux's Stacking Kit (model: STACKIT7XL) and Pedestal (model: EPWD257UTT). Awarded Best Overall washer and dryer set of 2023 by Reviewed.com.",1,5.00,ATXSUGAR,Best Buy,898
156m,4.0 cu. ft. Smart Dial Heat Pump Dryer White,"Retail Price: $898
Notes: Unit in excellent condition
Condition: New Open Box
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$898 Samsung's 4.0 cu. Ft. Large Capacity Heat Pump Dryer gives you a ventless, more energy-efficient, cost-effective and gentle way to dry your clothes. It is equipped with our AI Smart Dial, which learns and recommends your favorite cycles and simplifies the control panel to make controlling your dryer a breeze. It is also Wi-Fi Connected, so you can get end of cycle alerts, remotely start, schedule and more from your smartphone with the SmartThings App.. Amperage (A): 30 A.",1,5.00,ATXSUGAR,Best Buy,898
158m,"7.8 cu. ft. Smart Front Load Dryer, White","Retail Price: $698
Notes: Unit fully functional
Condition: New Not in Original Packaging
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$698 At GE Appliances, we bring good things to life, by designing and building the world's best appliances. Our goal is to help people improve their lives at home by providing quality appliances that were made for real life. Whether it's enjoying the tradition of making meals from scratch or tackling a mountain of muddy jeans and soccer jerseys, GE Appliances are crafted to support any and every task in the home.. Amperage (A): 24 A. Appliance Category: Dryer. Appliance Series: Not Applicable.",1,5.00,ATXSUGAR,Best Buy,698
160m,KitchenAid 360 MAX JETS 24-in Dishwasher -(W4),"Retail Price: $1450
Notes: Fully new just not in original packaging
Condition: New Open Box
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$1450 Fall in love at first wash. This KitchenAid  Eco Series front control dishwasher has the largest dishwasher tub.* The MaxTub is sized at 7.25 cu. Ft. To make plenty of room for the 360  Max Jets  Third Rack that fits 10 extra glasses and mugs, to free up space below (compared to KDTE204K and KDFE204K models). The third rack is the only one that uses 360  Wash Jets to thoroughly clean items, inside and out. This model also has True Self-Cleaning Filtration, eliminating the need for manual filter cleaning.",1,5.00,ATXSUGAR,Best Buy,1450
162m,7.3 Cu. Ft. Vented Gas Dryer with Sensor Dry,"Retail Price: $628
Notes: Has signs of usage still functions fine
Condition: Used - Acceptable
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$628 The LG Sensor Dry system keeps tabs on moisture levels throughout the cycle and automatically adjusts drying time as needed-so you don't have to. And with generous 7.3 cu. Ft. Capacity that fits more laundry in every load, this dryer makes laundry day easier all-around. FlowSense duct clogging indicator lets you know when your ducts need cleaning to avoid lint buildup and keep your dryer clean, efficient and safe.. Appliance Category: Dryer.",1,5.00,ATXSUGAR,Best Buy,628
164m,LG 9 cu. ft. Gas Dryer with Sensor Dry,"Retail Price: $1298
Notes: Has light scratches on top from being a floor model does not affect function
Condition: New Open Box
In Packaging?: No
Assembly Required?: No
Damaged?: No
Functional?: Yes

$1298 LG's Mega Capacity 9.0 cu. Ft. Steam Dryer performs big enough for your most ambitious loads. Smart enough to make sure everything dries perfectly with 14 drying programs, including, Steam Fresh, Steam Sanitary, Wool, Speed Dry, Air Dry and Super Dry. Steam technology reduces wrinkles and odors and practically eliminates the need for ironing. Optimum drying time is continuously monitored with the Sensor Dry system.",1,5.00,ATXSUGAR,Best Buy,1298
166m,Smart Front-Load Gas Dryer with Steam,"Retail Price: $898
Notes: Works perfectly Light scratching on top nothing too serious Shows signs of usage but overall in good condition
Condition: New Not in Original Packaging
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$898 At GE Appliances, we bring good things to life, by designing and building the world's best appliances. Our goal is to help people improve their lives at home by providing quality appliances that were made for real life. Whether it's enjoying the tradition of making meals from scratch or tackling a mountain of muddy jeans and soccer jerseys, GE Appliances are crafted to support any and every task in the home.. Appliance Category: Dryer. Appliance Series: Not Applicable. Appliance Type: Gas Dryer.",1,5.00,ATXSUGAR,Best Buy,898
